confederation,slider_level,length_scale_years,year,mean,p5,p95
CAF,0.8,6.51,2001,1532.1651798007604,1524.167918828302,1540.162440773219
CAF,0.8,6.51,2002,1532.1915614631635,1524.762285634698,1539.6208372916287
CAF,0.8,6.51,2003,1532.4032115638813,1525.3822404475648,1539.4241826801976
CAF,0.8,6.51,2004,1532.6503831752123,1525.7032138108023,1539.5975525396225
CAF,0.8,6.51,2005,1532.657316434756,1525.6095712326262,1539.7050616368858
CAF,0.8,6.51,2006,1532.3382187570828,1525.252740959755,1539.4236965544103
CAF,0.8,6.51,2007,1531.9020159780525,1524.8187163858836,1538.9853155702217
CAF,0.8,6.51,2008,1531.5519983846489,1524.4625168835141,1538.6414798857836
CAF,0.8,6.51,2009,1531.2565442599532,1524.1024140086345,1538.410674511272
CAF,0.8,6.51,2010,1530.883349942933,1523.6399344936294,1538.1267653922362
CAF,0.8,6.51,2011,1530.4230410509244,1523.0995533983619,1537.7465287034872
CAF,0.8,6.51,2012,1529.9134127946354,1522.5081337107756,1537.3186918784952
CAF,0.8,6.51,2013,1529.2827787814106,1521.7938618138721,1536.7716957489492
CAF,0.8,6.51,2014,1528.4996294374978,1520.918778848213,1536.0804800267829
CAF,0.8,6.51,2015,1527.7255476174696,1519.932865921678,1535.5182293132614
CAF,0.8,6.51,2016,1527.1358670788688,1518.980549660664,1535.2911844970736
CAF,0.8,6.51,2017,1526.7206132056126,1518.180087734998,1535.261138676227
CAF,0.8,6.51,2018,1526.4278002383078,1517.6009619076106,1535.254638569005
CAF,0.8,6.51,2019,1526.3184368075306,1517.2217258504475,1535.4151477646137
CAF,0.8,6.51,2020,1526.432891514644,1516.943995027144,1535.921788002144
CAF,0.8,6.51,2021,1526.6933856850276,1516.6294497108681,1536.7573216591873
CAF,0.8,6.51,2022,1526.9933840654987,1516.1919468231551,1537.7948213078425
CAF,0.8,6.51,2023,1527.2625153652368,1515.6488377691471,1538.8761929613268
CAF,0.8,6.51,2024,1527.4761065901573,1515.075312845835,1539.8769003344798
CAF,0.8,6.51,2025,1527.6449719823333,1514.5279511444812,1540.7619928201857
CAF,0.8,6.51,2026,1527.7907129672988,1514.0222034327307,1541.5592225018668
CAF,1.0,8.14,1992,1537.7585575710816,1526.9592007424176,1548.5579143997456
CAF,1.0,8.14,1993,1537.5826452678352,1527.484132116181,1547.6811584194893
CAF,1.0,8.14,1994,1537.1279638308836,1527.704763092408,1546.5511645693591
CAF,1.0,8.14,1995,1536.4256004102167,1527.6089443100764,1545.2422565103573
CAF,1.0,8.14,1996,1535.5728287695315,1527.1833240724218,1543.9623334666414
CAF,1.0,8.14,1997,1534.6835380954367,1526.4625411367435,1542.9045350541296
CAF,1.0,8.14,1998,1533.8619529184905,1525.6234693264557,1542.100436510525
CAF,1.0,8.14,1999,1533.1951410620177,1524.9554193167285,1541.4348628073067
CAF,1.0,8.14,2000,1532.7381309681928,1524.6920636686366,1540.7841982677487
CAF,1.0,8.14,2001,1532.497121053654,1524.87250212906,1540.1217399782477
CAF,1.0,8.14,2002,1532.4385728578145,1525.337145656769,1539.5400000588602
CAF,1.0,8.14,2003,1532.4993542498607,1525.8136787104715,1539.18502978925
CAF,1.0,8.14,2004,1532.5637706405741,1526.0364631072753,1539.0910781738728
CAF,1.0,8.14,2005,1532.4929720309087,1525.920201572959,1539.0657424888584
CAF,1.0,8.14,2006,1532.2394253690406,1525.569113615063,1538.9097371230182
CAF,1.0,8.14,2007,1531.8821298589862,1525.1297540371838,1538.6345056807886
CAF,1.0,8.14,2008,1531.512904188298,1524.7023943964982,1538.323413980098
CAF,1.0,8.14,2009,1531.1378458570814,1524.270910733459,1538.0047809807038
CAF,1.0,8.14,2010,1530.715920665932,1523.7922590132928,1537.6395823185708
CAF,1.0,8.14,2011,1530.2357439911543,1523.2602623635232,1537.2112256187854
CAF,1.0,8.14,2012,1529.7014125342496,1522.665044101584,1536.7377809669151
CAF,1.0,8.14,2013,1529.0958737615806,1521.9751685021063,1536.2165790210552
CAF,1.0,8.14,2014,1528.429542297692,1521.1786926766683,1535.6803919187157
CAF,1.0,8.14,2015,1527.7848775429527,1520.3114692927763,1535.2582857931293
CAF,1.0,8.14,2016,1527.2523740311249,1519.4658166813988,1535.0389313808512
CAF,1.0,8.14,2017,1526.8595512779616,1518.7423864347068,1534.9767161212164
CAF,1.0,8.14,2018,1526.605164329685,1518.2007623998554,1535.0095662595147
CAF,1.0,8.14,2019,1526.5066380110486,1517.822188808642,1535.1910872134554
CAF,1.0,8.14,2020,1526.566737829925,1517.5171298693515,1535.6163457904984
CAF,1.0,8.14,2021,1526.738633911636,1517.1766583770227,1536.3006094462492
CAF,1.0,8.14,2022,1526.952434580978,1516.7387890035511,1537.1660801584048
CAF,1.0,8.14,2023,1527.1536243544615,1516.2123528076636,1538.0948959012594
CAF,1.0,8.14,2024,1527.3165386808023,1515.6464136718316,1538.9866636897732
CAF,1.0,8.14,2025,1527.43967751872,1515.0872831402457,1539.792071897194
CAF,1.0,8.14,2026,1527.533975475015,1514.559340669338,1540.5086102806922
CAF,1.5,12.21,1992,1537.079249108303,1527.3693656165722,1546.7891326000338
CAF,1.5,12.21,1993,1536.8330025412167,1527.7053985090997,1545.9606065733337
CAF,1.5,12.21,1994,1536.443351363636,1527.863434702607,1545.0232680246652
CAF,1.5,12.21,1995,1535.926791280302,1527.8181926254044,1544.0353899351996
CAF,1.5,12.21,1996,1535.3247901228633,1527.5702508377806,1543.079329407946
CAF,1.5,12.21,1997,1534.6932622467082,1527.1664474008062,1542.2200770926102
CAF,1.5,12.21,1998,1534.089764331238,1526.7068787899425,1541.4726498725336
CAF,1.5,12.21,1999,1533.5625771808343,1526.3171920982115,1540.8079622634573
CAF,1.5,12.21,2000,1533.1428719439684,1526.097599978109,1540.1881439098279
CAF,1.5,12.21,2001,1532.8400361394506,1526.0796888042976,1539.6003834746036
CAF,1.5,12.21,2002,1532.6400851772958,1526.21115085474,1539.0690194998513
CAF,1.5,12.21,2003,1532.507759843471,1526.3759813774175,1538.6395383095244
CAF,1.5,12.21,2004,1532.3947224932256,1526.4501291999177,1538.3393157865337
CAF,1.5,12.21,2005,1532.254721506402,1526.3635829669483,1538.1458600458557
CAF,1.5,12.21,2006,1532.0587736475125,1526.1188118722293,1537.9987354227956
CAF,1.5,12.21,2007,1531.7990122593865,1525.762120086186,1537.8359044325866
CAF,1.5,12.21,2008,1531.4792184558419,1525.3443994932888,1537.6140374183947
