month,threshold,confederation,share,share_pct
2014-06,20,AFC,0.0,0.0
2014-06,20,CAF,0.0,0.0
2014-06,20,CONCACAF,0.2,20.0
2014-06,20,CONMEBOL,0.25,25.0
2014-06,20,OFC,0.0,0.0
2014-06,20,UEFA,0.55,55.00000000000001
2014-07,20,AFC,0.05,5.0
2014-07,20,CAF,0.45,45.0
2014-07,20,CONCACAF,0.15,15.0
2014-07,20,CONMEBOL,0.1,10.0
2014-07,20,OFC,0.0,0.0
2014-07,20,UEFA,0.25,25.0
2014-08,20,AFC,0.1,10.0
2014-08,20,CAF,0.5,50.0
2014-08,20,CONCACAF,0.25,25.0
2014-08,20,CONMEBOL,0.05,5.0
2014-08,20,OFC,0.0,0.0
2014-08,20,UEFA,0.1,10.0
2014-09,20,AFC,0.0,0.0
2014-09,20,CAF,0.0,0.0
2014-09,20,CONCACAF,0.2,20.0
2014-09,20,CONMEBOL,0.2,20.0
2014-09,20,OFC,0.0,0.0
2014-09,20,UEFA,0.6,60.0
2014-10,20,AFC,0.0,0.0
2014-10,20,CAF,0.0,0.0
2014-10,20,CONCACAF,0.15,15.0
2014-10,20,CONMEBOL,0.2,20.0
2014-10,20,OFC,0.0,0.0
2014-10,20,UEFA,0.65,65.0
2014-11,20,AFC,0.0,0.0
2014-11,20,CAF,0.0,0.0
2014-11,20,CONCACAF,0.2,20.0
2014-11,20,CONMEBOL,0.2,20.0
2014-11,20,OFC,0.0,0.0
2014-11,20,UEFA,0.6,60.0
2014-12,20,AFC,0.9375,93.75
2014-12,20,CAF,0.0,0.0
2014-12,20,CONCACAF,0.0,0.0
2014-12,20,CONMEBOL,0.0,0.0
2014-12,20,OFC,0.0,0.0
2014-12,20,UEFA,0.0625,6.25
2015-01,20,AFC,0.35,35.0
2015-01,20,CAF,0.4,40.0
2015-01,20,CONCACAF,0.05,5.0
2015-01,20,CONMEBOL,0.05,5.0
2015-01,20,OFC,0.0,0.0
2015-01,20,UEFA,0.15,15.0
2015-02,20,AFC,0.2,20.0
2015-02,20,CAF,0.3,30.0
2015-02,20,CONCACAF,0.4,40.0
2015-02,20,CONMEBOL,0.0,0.0
2015-02,20,OFC,0.0,0.0
2015-02,20,UEFA,0.1,10.0
2015-03,20,AFC,0.05,5.0
2015-03,20,CAF,0.0,0.0
2015-03,20,CONCACAF,0.15,15.0
2015-03,20,CONMEBOL,0.25,25.0
2015-03,20,OFC,0.0,0.0
2015-03,20,UEFA,0.55,55.00000000000001
2015-04,20,AFC,0.0,0.0
2015-04,20,CAF,0.0,0.0
2015-04,20,CONCACAF,1.0,100.0
2015-04,20,CONMEBOL,0.0,0.0
2015-04,20,OFC,0.0,0.0
2015-04,20,UEFA,0.0,0.0
2015-05,20,AFC,0.4,40.0
2015-05,20,CAF,0.35,35.0
2015-05,20,CONCACAF,0.2,20.0
2015-05,20,CONMEBOL,0.0,0.0
2015-05,20,OFC,0.0,0.0
2015-05,20,UEFA,0.05,5.0
2015-06,20,AFC,0.0,0.0
2015-06,20,CAF,0.0,0.0
2015-06,20,CONCACAF,0.2,20.0
2015-06,20,CONMEBOL,0.25,25.0
2015-06,20,OFC,0.0,0.0
2015-06,20,UEFA,0.55,55.00000000000001
2015-07,20,AFC,0.0,0.0
2015-07,20,CAF,0.15,15.0
2015-07,20,CONCACAF,0.6,60.0
2015-07,20,CONMEBOL,0.2,20.0
2015-07,20,OFC,0.0,0.0
2015-07,20,UEFA,0.05,5.0
2015-08,20,AFC,0.55,55.00000000000001
2015-08,20,CAF,0.4,40.0
2015-08,20,CONCACAF,0.0,0.0
2015-08,20,CONMEBOL,0.0,0.0
2015-08,20,OFC,0.05,5.0
2015-08,20,UEFA,0.0,0.0
2015-09,20,AFC,0.05,5.0
2015-09,20,CAF,0.0,0.0
2015-09,20,CONCACAF,0.15,15.0
2015-09,20,CONMEBOL,0.25,25.0
2015-09,20,OFC,0.0,0.0
2015-09,20,UEFA,0.55,55.00000000000001
2015-10,20,AFC,0.05,5.0
2015-10,20,CAF,0.0,0.0
2015-10,20,CONCACAF,0.1,10.0
2015-10,20,CONMEBOL,0.25,25.0
2015-10,20,OFC,0.0,0.0
2015-10,20,UEFA,0.6,60.0
2015-11,20,AFC,0.05,5.0
2015-11,20,CAF,0.0,0.0
2015-11,20,CONCACAF,0.1,10.0
2015-11,20,CONMEBOL,0.25,25.0
2015-11,20,OFC,0.0,0.0
