confederation,month,log_mean,log_p5,log_p95,elo_mean,elo_p5,elo_p95
UEFA,2009-06,7.284917218819673,7.257532358584333,7.314360695929854,1458.366717029613,1418.7512475207564,1501.7114389091944
UEFA,2009-07,7.284982528839912,7.257540712888179,7.314452685493275,1458.4620086408406,1418.7630996763035,1501.8495870834136
UEFA,2009-08,7.285048148594663,7.257551005968344,7.314571827459379,1458.5577592717177,1418.7777022904386,1502.0285310081333
UEFA,2009-09,7.285114164353847,7.257563113344457,7.314691078170128,1458.6540947812684,1418.7948792131856,1502.2076596282695
UEFA,2009-10,7.2851806623873765,7.25757607797292,7.314776712572921,1458.751141056678,1418.8132730750974,1502.3363058228822
UEFA,2009-11,7.285247728965169,7.257635511515086,7.314826812286341,1458.8490240139633,1418.8976007199944,1502.4115745995382
UEFA,2009-12,7.285315450357141,7.257728854867163,7.3148758915799705,1458.9478695987718,1419.0300515799013,1502.4853139230927
UEFA,2010-01,7.285383912833208,7.2578235367620065,7.314925646773371,1459.0478037873106,1419.1644144197255,1502.560072503512
UEFA,2010-02,7.285453202663285,7.257919615905893,7.314988209546993,1459.1489525874035,1419.3007731027994,1502.6540799468182
UEFA,2010-03,7.28552340611729,7.258017173462336,7.315068122372917,1459.2514420396803,1419.439243407117,1502.7741660621386
UEFA,2010-04,7.285594609465141,7.258117447361317,7.315148788513901,1459.3553982188907,1419.58158317867,1502.895393933204
UEFA,2010-05,7.285666898976753,7.258207789336203,7.3152299468563315,1459.460947235353,1419.709836693639,1503.0173713024449
UEFA,2010-06,7.285740360922039,7.258255260020302,7.315311935981398,1459.5682152365298,1419.7772328684368,1503.1406073524684
UEFA,2010-07,7.285815081570919,7.258316272689864,7.315395741399391,1459.677328408732,1419.8638599284707,1503.266583881547
UEFA,2010-08,7.285891147193308,7.25840916750534,7.315489835164903,1459.7884129789566,1419.9957642972,1503.408038395436
UEFA,2010-09,7.285968644059123,7.258503469109922,7.3155819013339,1459.9015952168506,1420.1296790080835,1503.5464573231
UEFA,2010-10,7.286047658438279,7.2585992668609975,7.315659784176199,1460.0170014368052,1420.2657315452134,1503.6635622637932
UEFA,2010-11,7.286128276600692,7.258697441637735,7.315733389617565,1460.134758000182,1420.4051734402287,1503.7742442100007
